algorithm,dataset,run,seed,n_selected,n_total_features,subset_accuracy,all_features_accuracy,internal_fitness,n_evaluations
cuckoo,digits,3,3,48,64,0.9703703703703704,0.9796296296296296,0.0263571428571429,1210
cuckoo,digits,4,4,51,64,0.9629629629629628,0.9796296296296296,0.0268258928571429,1210
cuckoo,digits,5,5,47,64,0.9685185185185186,0.9796296296296296,0.0324866071428571,1210
cuckoo,digits,6,6,43,64,0.9685185185185186,0.9796296296296296,0.0318616071428571,1210
cuckoo,digits,7,7,42,64,0.9648148148148148,0.9796296296296296,0.0222767857142857,1210
cuckoo,digits,8,8,40,64,0.9518518518518518,0.9796296296296296,0.0219642857142857,1210
cuckoo,digits,9,9,40,64,0.9685185185185186,0.9796296296296296,0.0313928571428571,1210
abc,digits,0,0,48,64,0.9777777777777776,0.9796296296296296,0.0232142857142857,2010
abc,digits,1,1,47,64,0.9555555555555556,0.9796296296296296,0.0230580357142857,2010
abc,digits,2,2,42,64,0.9685185185185186,0.9796296296296296,0.0222767857142857,2010
abc,digits,3,3,45,64,0.9666666666666668,0.9796296296296296,0.0227455357142857,2010
abc,digits,4,4,41,64,0.9685185185185186,0.9796296296296296,0.0189776785714285,2010
abc,digits,5,5,43,64,0.9574074074074074,0.9796296296296296,0.0318616071428571,2010
abc,digits,6,6,40,64,0.9611111111111112,0.9796296296296296,0.0345357142857143,2010
abc,digits,7,7,45,64,0.9574074074074074,0.9796296296296296,0.0164598214285714,2010
abc,digits,8,8,48,64,0.9777777777777776,0.9796296296296296,0.0106428571428571,2010
abc,digits,9,9,37,64,0.9629629629629628,0.9796296296296296,0.02778125,2010
